"P0.1","P0.2","P0.3","P100.1","P100.2","P100.3","P1000.1","P1000.2","P1000.3","P2000.1","P2000.2","P2000.3","P300.1","P300.2","P300.3","P5.1","P5.2","P5.3"
"Actinobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0.000871966283970353,0,0,0,0,0
"Alphaproteobacteria",0,0.000542005420054201,0.000267558528428094,0.00474266643246092,0.000819672131147541,0.00100267379679144,0.000600961538461538,0.00281114234602607,0.000385951370127364,0.0108289768483943,0.00334868145667643,0.00421200421200421,0.00363319284987647,0,0.00277279399771652,0.00842318059299191,0.00113747156321092,0.0050314465408805
"Bacteroidia",0,0,0.00267558528428094,0,0.00245901639344262,0,0,0.00127779197546639,0,0.000373412994772218,0,0.0166725166725167,0,0,0,0,0.0458238544036399,0.0176100628930818
"Betaproteobacteria",0.00823836331182205,0.0214092140921409,0.00668896321070234,0.080800983664149,0.112021857923497,0.0681818181818182,0.186298076923077,0.139279325325837,0.190852952527981,0.0683345780433159,0.522603599832566,0.33959283959284,0.101148088940561,0.119664100769769,0.0308269450334366,0.122978436657682,0.0604484887877803,0.0220125786163522
"Candidatus Lambdaproteobacteria",0,0,0,0.000702617249253469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridia",0.000686530275985171,0.000677506775067751,0.000535117056856187,0,0,0,0,0,0,0.000248941996514812,0,0,0,0,0,0,0,0
"Cyanophyceae",0,0,0,0.00193219743544704,0.0155737704918033,0.00568181818181818,0,0.00664451827242525,0,0,0.00334868145667643,0.00473850473850474,0.00116262171196047,0.000933053417308141,0.000489316587832327,0.00370619946091644,0.0357491062723432,0
"Deltaproteobacteria",0.439928600851298,0.553929539295393,0.799598662207358,0.635165993325136,0.60327868852459,0.663101604278075,0.649939903846154,0.428315870176335,0.597838672327287,0.785536470002489,0.390958560066974,0.437872937872938,0.560528992878942,0.7679029624446,0.869678682107323,0.414925876010782,0.322554436139097,0.203459119496855
"Epsilonproteobacteria",0,0,0.00107023411371237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gammaproteobacteria",0.335575998901552,0.327642276422764,0.155986622073579,0.0165115053574565,0.0177595628415301,0.0247326203208556,0.0366586538461538,0.0194224380270892,0.0260517174835971,0.00572566591984068,0.00188363331938049,0.00877500877500877,0.239790728091847,0.00513179379519477,0.0065242211710977,0.329683288409704,0.021774455638609,0.0279874213836478
"Hydrogenophilalia",0.000274612110394068,0,0,0.0245916037238714,0.0508196721311475,0.0223930481283422,0.0141225961538462,0.237413749041656,0.0472790428406021,0.00970873786407767,0.00167434072833822,0.0156195156195156,0.000726638569975294,0.00046652670865407,0,0,0.0064998375040624,0.322955974842767
"NA",0.21529589454895,0.09579945799458,0.0322408026755853,0.220973124890216,0.183060109289617,0.204545454545455,0.111478365384615,0.161257347303859,0.130258587417985,0.116629325367189,0.0751360401841775,0.168129168129168,0.073971806423485,0.0814089106601353,0.0805741314630566,0.117756064690027,0.50308742281443,0.397798742138365
"Nitrospira",0,0,0,0.00614790093096786,0.010655737704918,0.00300802139037433,0.000901442307692308,0.000511116790186558,0.00250868390582787,0.000373412994772218,0.000627877773126831,0.00403650403650404,0.0181659642493824,0.0244926522043387,0.00424074376121351,0.00252695417789757,0.00292492687682808,0.00220125786163522
"Opitutae",0,0,0,0.000878271561566836,0,0.00167112299465241,0,0,0,0,0,0,0,0,0,0,0,0.000943396226415094
"Spartobacteria",0,0,0,0,0.000546448087431694,0,0,0.00153335037055967,0.000578927055191046,0,0,0,0,0,0,0,0,0
"unclassified Elusimicrobia",0,0,0,0.000702617249253469,0,0,0,0.00102223358037312,0.004245465071401,0.00112023898431665,0.000418585182084554,0,0,0,0.000815527646387213,0,0,0
"unclassified Lentisphaerae",0,0,0,0.00685051818022132,0.00300546448087432,0.00434491978609626,0,0.000511116790186558,0,0.00112023898431665,0,0.000351000351000351,0,0,0.00407763823193606,0,0,0
"unclassified Verrucomicrobia",0,0,0,0,0,0.00133689839572193,0,0,0,0,0,0,0,0,0,0,0,0
"Zetaproteobacteria",0,0,0.000936454849498328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
