#SampleID	Treatment	Plant	Type	Amdt	DayCollected	Density	SampleSite
P0.1	A	P0	P0	P0	CK	2	A
P0.2	A	P0	P0	P0	CK	2	A
P0.3	A	P0	P0	P0	CK	2	A
P5.1	B	P50	P50	P50	CK	2	P_5
P5.2	B	P50	P50	P50	CK	2	P_5
P5.3	B	P50	P50	P50	CK	2	P_5
P100.1	B	P100	P100	P100	CK	2	P_100
P100.2	B	P100	P100	P100	CK	2	P_100
P100.3	B	P100	P100	P100	CK	2	P_100
P300.1	B	P300	P300	P300	CK	2	P_300
P300.2	B	P300	P300	P300	CK	2	P_300
P300.3	B	P300	P300	P300	CK	2	P_300
P1000.1	B	P1000	P1000	P1000	CK	2	P_1000
P1000.2	B	P1000	P1000	P1000	CK	2	P_1000
P1000.3	B	P1000	P1000	P1000	CK	2	P_1000
P2000.1	B	P2000	P2000	P2000	CK	2	P_2000
P2000.2	B	P2000	P2000	P2000	CK	2	P_2000
P2000.3	B	P2000	P2000	P2000	CK	2	P_2000
